tsne_2d_one,tsne_2d_two
-0.5104163,6.103951
-0.50992393,6.103537
-0.5094659,6.10314
-0.5089864,6.1027193
-0.5084423,6.102236
-0.5080289,6.101862
-0.5075321,6.101406
-0.5070051,6.1008773
-0.50645936,6.100373
-0.5058896,6.0997834
-0.505302,6.099211
-0.50470716,6.0986233
-0.50410545,6.098008
-0.50350904,6.0974326
-0.5029249,6.0968103
-0.50228864,6.0961375
-0.50183344,6.095667
-0.5013466,6.0951524
-0.5009052,6.0946646
-0.50046414,6.094192
-0.5042902,6.098068
-0.50393265,6.097734
-0.5034982,6.0973134
-0.5029597,6.0967684
-0.5022906,6.0960793
-0.50152963,6.095289
-0.5006897,6.0944104
-0.49980885,6.093467
-0.4989289,6.0925174
-0.49806514,6.0915856
-0.4972404,6.0906816
-0.49644002,6.089818
-0.49562764,6.0889626
-0.4948115,6.088056
-0.49396035,6.0871177
-0.5162924,6.108397
-0.5163223,6.108448
-0.5163158,6.108466
-0.51624644,6.1084213
-0.5160831,6.1082797
-0.51581657,6.1080313
-0.5154577,6.107685
-0.51502407,6.1072598
-0.5145328,6.1067715
-0.5139692,6.106208
-0.5133027,6.1055346
-0.5041179,6.097669
-0.5038741,6.097462
-0.50363344,6.097287
-0.5033471,6.097005
-0.50296646,6.096659
-0.50247353,6.096175
-0.50185865,6.095538
-0.5011264,6.094804
-0.50034726,6.09399
-0.49940598,6.092974
-0.49877205,6.092294
-0.49803802,6.091497
-0.4973445,6.0907407
-0.496673,6.0900106
-0.49614137,6.0894265
-0.5117681,6.104537
-0.51120716,6.104063
-0.5106564,6.103597
-0.5100945,6.1031203
-0.50950533,6.1026106
-0.5087236,6.101867
-0.50818527,6.1014094
-0.5074478,6.1007075
-0.50666946,6.099965
-0.505842,6.099112
-0.5049902,6.098288
-0.5041245,6.0973988
-0.50328916,6.096537
-0.50253487,6.095725
-0.5012653,6.0943666
-0.5013544,6.0945535
-0.49383566,6.086872
-0.49245015,6.0853615
-0.49127516,6.0840907
-0.48965192,6.08229
-0.48819396,6.080681
-0.48659387,6.078904
-0.48489034,6.077008
-0.4830741,6.07498
-0.48112178,6.0727916
-0.47904345,6.0704627
-0.4770384,6.0682726
-0.4743157,6.0652227
-0.4716474,6.0622296
-0.4303297,6.0161014
-0.51466215,6.106515
-0.514621,6.106478
-0.51458955,6.106451
-0.5144467,6.1063027
-0.51432884,6.1061893
-0.51407206,6.105925
-0.5135208,6.1053376
-0.5132553,6.105068
-0.51272464,6.1044846
-0.51210624,6.1038847
-0.4985643,6.091043
-0.4986958,6.091277
-0.49887428,6.0915685
-0.49901983,6.0918074
-0.49909315,6.0919757
-0.4990219,6.0919685
-0.49878848,6.091818
-0.49837428,6.0914054
-0.49782056,6.090876
-0.49714544,6.0901866
-0.49632573,6.089355
-0.49548587,6.0884476
-0.49461612,6.087509
-0.49377194,6.0865583
-0.49296996,6.0856714
-0.4921382,6.0847583
-0.5135516,6.1052685
-0.5133078,6.1050158
-0.5132129,6.1049047
-0.5129774,6.1046433
-0.51266634,6.1043153
-0.5123146,6.1039543
-0.5118826,6.103505
-0.511388,6.102981
-0.5108074,6.10239
-0.5102043,6.101767
-0.50950277,6.1010494
-0.50874335,6.1002755
-0.50797534,6.0994906
-0.5071974,6.0986996
-0.50635856,6.0978336
-0.5054119,6.096883
-0.504354,6.0957947
-0.5031452,6.0945506
-0.50173396,6.093091
-0.5126695,6.1042805
-0.5123805,6.103973
-0.5120345,6.1035924
-0.511614,6.103157
-0.51114136,6.1026487
-0.51063,6.102115
-0.51006913,6.1015344
-0.509502,6.1009626
-0.50887793,6.1003213
-0.50822157,6.0996633
-0.5075408,6.0989833
-0.5068086,6.098242
-0.5059906,6.0974193
-0.50509685,6.0965075
-0.5092033,6.100563
-0.5082142,6.099525
-0.5071992,6.09846
-0.5062013,6.097416
-0.5052706,6.096456
-0.50437295,6.0955863
-0.5035191,6.094679
-0.5032305,6.0944557
-0.50174135,6.0929112
-0.50062865,6.09182
-0.49935868,6.0905256
